Dataset,Class,rdf:type triples
YAGO,Visual_Artist_Q3391743,39
YAGO,Nova_Candidate_Q72705413,2
YAGO,Catholic_Theologian_Q98833890,14
YAGO,Voice_acting_in_Japan,6
YAGO,Photographer,60
YAGO,Mosque,9
YAGO,Bakery,1
YAGO,Roman_villa,4
YAGO,Individual_Motion_Q96739634,50
YAGO,Committee_Group_Motion_Q97695005,15
YAGO,Motion__u0028_parliamentary_procedure_u0029_,78
YAGO,Tumulus_Above_Cremated_Remains_Q2141230,1
YAGO,Settlement_Of_Protohistoric_Times_Q106505070,3
YAGO,Bodendenkmal_Q22969563,38
YAGO,Siedlung_Der_Urnenfelderzeit_Q106504960,2
YAGO,Burgstall,2
YAGO,Report_Q10429085,14
YAGO,Interpellation__u0028_politics_u0029_,11
YAGO,Record_Of_Meeting_Of_The_Riksdag_Q98467717,8
YAGO,Committee_Directives_Q98491862,7
YAGO,Ice_cream_parlor,1
YAGO,Livestock_housing,1
YAGO,Cadastral_Municipality_Of_North_Macedonia_Q98497401,4
YAGO,Rock_art,2
YAGO,Written_Question_Q99045339,31
YAGO,Research_Grant_Q54875403,7
YAGO,Business_consultant,2
YAGO,Junior_National_Cycling_Team_Q54555994,1
YAGO,Statutory_instrument__u0028_UK_u0029_,93
YAGO,Science_project,49
YAGO,Political_organisation,5
YAGO,Performed_Music_Q106805967,2
YAGO,Statutory_rules_of_Northern_Ireland,14
YAGO,Trade_association,3
YAGO,Project,10
YAGO,Statutory_rules_and_orders,8
YAGO,Irish_Statutory_Instrument_Q100532807,31
YAGO,Statutory_instrument,6
YAGO,Statute,23
YAGO,Production_designer,8
YAGO,Academic_department,17
YAGO,Basketball_Game_Q18431960,3
YAGO,New_Zealand_Statutory_Regulation_Q101073581,2
YAGO,Ward__u0028_electoral_subdivision_u0029_,23
YAGO,Promontory,3
YAGO,Security_Archives_Q101475797,1
YAGO,Lecture,1
YAGO,Impresario,1
YAGO,Shipwreck,33
YAGO,Cutter__u0028_boat_u0029_,1
YAGO,Hilly_Stage_Q20646670,3
YAGO,Gallerist_Q20771242,2
YAGO,Germacrane_Sesquiterpenoid_Q108243163,3
YAGO,Townland,57
YAGO,Voluntary_association,9
YAGO,Lorgnette,1
YAGO,Biogenic_Aliphatic_Hydrocarbon_Q109910560,1
YAGO,Book_review,8
YAGO,Fable,2
YAGO,Sieĺsaviet_Of_Belarus_Q15071808,3
YAGO,Candomblé_Terreiro_Q3208559,1
YAGO,Advisory_Group_Q23722468,2
YAGO,Biogenic_Acyclic_Ester_Q109923912,2
YAGO,United_States_Senate_Election_In_Missisippi_Q112727405,1
YAGO,Alkaloid,7
YAGO,Biogenic_Benzofuran_Q109562462,1
YAGO,Aspidospermine__U002F__Aspidofractine__U002F__Kopsane_Alkaloid_Q109330211,1
YAGO,Community_health_center,4
YAGO,Tigliane_Diterpenoid_Q108430426,1
YAGO,Flavones,4
YAGO,4-Methylergostane_Steroid_Q108677572,1
YAGO,Amphilectane_Diterpenoid_Q108440412,1
YAGO,Clerodane_Diterpenoid_Q108381958,3
YAGO,Oleanane_Triterpenoid_Q108544891,6
YAGO,Pyrrole_Alkaloid_Q109378676,1
YAGO,2_U002C_6-Dimethyloctane_Monoterpenoid_Q108485826,6
YAGO,Runic_inscriptions,5
YAGO,Cancelled_Event_Due_To_The_Covid-19_Pandemic_Q87479384,1
YAGO,NHS_primary_care_trust,1
YAGO,Decree_Law_Q6453643,10
YAGO,Municipal_Election_Q152450,12
YAGO,Manor_Estate_Q2116450,18
YAGO,Dub__u0028_filming_u0029_,4
YAGO,Ministerské_Nařízení_Q105984528,6
YAGO,Ministerská_Vyhláška_Q105984592,2
YAGO,Government_Regulation_Q12772319,6
YAGO,Legal_norm,7
YAGO,Municipal_council__u0028_Netherlands_u0029_,5
YAGO,Aircraft_Model_Q15056995,13
YAGO,Public_General_Act_Of_The_Parliament_Of_The_United_Kingdom_Q105774620,9
YAGO,Pastellist_Q20857490,2
YAGO,Local_Regulations_Of_The_People_U0027_S_Republic_Of_China_Q106006703,12
YAGO,Collection__u0028_publishing_u0029_,4
YAGO,Cultural_manager,2
YAGO,Lake_Or_Pond_Q104093746,26
YAGO,Wikimedia_Module_Q15184295,59
YAGO,Online_database,4
YAGO,Ogham_Stone_Concept__U0028_Cisp_Database_U0029__Q106602627,2
YAGO,Food_Ingredient_Q25403900,1
YAGO,Bathing_Water_Q567998,4
YAGO,Serial__u0028_publishing_u0029_,7
YAGO,Political_scientist,23
YAGO,Ambulance_station,2
YAGO,Encyclopedia,1
YAGO,Psychologist,21
YAGO,Film_poster,3
YAGO,Tibetan_Buddhist_Monastery_Q54074585,5
YAGO,American_Football_Player_Q19204627,39
YAGO,Private_Educational_Institution_Q23002042,4
YAGO,Protected_area,54
YAGO,Railway_stop,13
YAGO,Science_book,1
YAGO,Academic_Q3400985,19
YAGO,Item_Q11723795,4
YAGO,Subdistrict_Municipality_Q15141625,2
YAGO,Formula_One_team,2
YAGO,Tax_collector,1
YAGO,Recipe,1
YAGO,Bilingual_Dictionary_Entry_Q109819438,9
YAGO,Legislative_session,3
YAGO,Issue_Q28869365,60
YAGO,Kps_9566_Character_Q109483621,10
YAGO,Gb_12052_Character_Q109483637,6
YAGO,Votive_ship,1
YAGO,Guardia_Civil_Q50681172,1
YAGO,Parish_Municipality_Of_Denmark_Q20757176,2
YAGO,Exhibition,5
YAGO,Manga_Series_Q21198342,16
YAGO,Temporary_Exhibition_Q29023906,21
YAGO,Political_candidate,15
YAGO,Hermitage_Church_Q56750657,4
YAGO,Advertising,18
YAGO,Saturday_Night_Live_Sketch_Q110039749,9
YAGO,Civil_engineer,4
YAGO,Medalist,3
YAGO,Landmark_building,26
YAGO,Mixed_Cargo_Ship_Q1752434,1
YAGO,Podcast_Q24634210,5
YAGO,Study__u0028_art_u0029_,1
YAGO,Podcast_Episode_Q61855877,17
YAGO,Internet_celebrity,2
YAGO,Magazine_Article_Q30070590,10
YAGO,Swedish_Junior_Badminton_Championships_Q2254761,1
YAGO,Ontario_Badminton_Championships_O50_Q111286001,1
YAGO,Local_Politician_Q10547393,4
YAGO,Data_architect,1
YAGO,Paris_u2013_Roubaix_Espoirs,1
YAGO,Philatelist_Q1475726,3
YAGO,Commemorative_Bust_Q113650147,2
YAGO,Factor-Dependent_Cell_Line_Q27627225,1
YAGO,Medical_journal,2
YAGO,Milestone,6
YAGO,Motif__u0028_narrative_u0029_,23
YAGO,Motif__u0028_folkloristics_u0029_,33
YAGO,Allée,4
YAGO,Press_release,1
YAGO,Ambassador_Of_Angola_Q40455712,1
YAGO,Lifeboat__u0028_rescue_u0029_,1
YAGO,Group_Of_Statues_Q2293362,6
YAGO,Bank_Building_Q18761864,4
YAGO,Pipe_organ,7
YAGO,Villino_Q111189432,1
YAGO,Lavoir,2
YAGO,Cascina_a_corte,2
YAGO,News_website,2
YAGO,Compass,1
YAGO,Town_hall,6
YAGO,Portal__u0028_architecture_u0029_,1
YAGO,Camera_Model_Q20888659,2
YAGO,Arachnologist_Q17344952,4
YAGO,Dancer,12
YAGO,Opinion_writer,24
YAGO,Hydrologist_Q3644587,2
YAGO,Film_Screenwriter_Q69423232,3
YAGO,Literary_Critic_Q4263842,19
YAGO,Bookseller_Q998550,5
YAGO,Gynaecologist_Q2640827,3
YAGO,High_School_Teacher_Q5758653,7
YAGO,Animator,6
YAGO,Master_U0027_S_Thesis_Q1907875,48
YAGO,Établissement_d_u0027_hébergement_pour_personnes_âgées_dépendantes,8
YAGO,Skyscraper,3
YAGO,Television_Character_Q15773317,12
YAGO,Battle,12
YAGO,University_Building_Q19844914,4
YAGO,German_Badminton_Championships_U13_Q65735644,1
YAGO,Conference_proceedings,5
YAGO,CreativeWork,10
YAGO,Table_Tennis_Player_Q13382519,3
YAGO,Mixed_Choir_Q3276909,1
YAGO,Linguist,10
YAGO,Arabist,1
YAGO,Autobiographer_Q18814623,2
YAGO,Artist_collective,3
YAGO,Exercise__u0028_mathematics_u0029_,9
YAGO,Municipal_Public_Library,11
YAGO,Cyberattack,2
YAGO,Educational_psychologist,1
YAGO,Compact_Rural_Community_Q56885310,1
YAGO,Urban-type_settlement,5
YAGO,Geographic_Township_Of_Ontario_Q96759164,2
YAGO,Act_Of_The_Parliament_Of_Denmark_Q113627831,1
YAGO,Radio_station,34
YAGO,Former_Railway_Station_Q4663385,10
YAGO,International_Association_Football_Match_Q17315159,8
YAGO,Curate,5
YAGO,Government_agency,11
YAGO,Group_During_Sports_Competition_Q53945096,3
YAGO,Collaborative_Research_Centres,12
YAGO,Couple__u0028_relationship_u0029_,1
YAGO,Fortification,3
YAGO,Stamp_seal,1
YAGO,Path_Q5004679,1
YAGO,Document,2
YAGO,Bowl,1
YAGO,Teapot,1
YAGO,Compote_Bowl_Q2990690,1
YAGO,Media_presenter,1
YAGO,Ostracon,2
YAGO,Rugby_League_Player_Q14373094,15
YAGO,Hanging_scroll,6
YAGO,Beauty_Pageant_Contestant_Q18581305,16
YAGO,War_memorial,21
YAGO,Nonprofit_organization,23
YAGO,Engine_power_plant,2
YAGO,Onshore_Wind_Farm_Q50687555,3
YAGO,Battery_storage_power_station,1
YAGO,Nurse_scientist,1
YAGO,Q12138894,2
YAGO,JavaScript_library,3
YAGO,Bulk_carrier,9
YAGO,Director_general,1
YAGO,Platform_supply_vessel,5
YAGO,Salesman,1
YAGO,Cargo_ship,6
YAGO,Calligraphic_Work_Q22669850,81
YAGO,Seal__u0028_East_Asia_u0029_,17
YAGO,Bundesstraße,2
YAGO,Cultural_center,3
YAGO,War,2
YAGO,Referee,1
YAGO,Kmetstvo_Of_Bulgaria_Q4224624,6
YAGO,Studentenverbindung,1
YAGO,Non-Fiction_Writer_Q15980158,8
YAGO,Kleinbahn,1
YAGO,Theater__u0028_structure_u0029_,11
YAGO,Working_Life_Museum_Q10416961,2
YAGO,Railway_Engineer_Q66711686,2
YAGO,German_Noble_Family_Q61881926,1
YAGO,Goulash,1
YAGO,Pressure_group,2
YAGO,Poet_Lawyer_Q1209498,1
YAGO,Trade_Union_Federation_Q1391517,1
YAGO,Hermitage_Q1138414,2
YAGO,Fußfall_Q1478478,1
YAGO,Advisory_board,1
YAGO,Nuclear_Physicist_Q16742096,6
YAGO,Literary_movement,1
YAGO,Railway_Tunnel_Q1311958,2
YAGO,Tower,5
YAGO,Umbrella_organization,3
YAGO,Radio_personality,10
YAGO,Gas-fired_power_plant,3
YAGO,Smock_Mill_On_A_Small_Hill_Q819774,1
YAGO,Archivist,14
YAGO,Murder,1
YAGO,Hypocorism,1
YAGO,Game,2
YAGO,Exchange__u0028_organized_market_u0029_,1
YAGO,Landtag_Electoral_District_Q18226756,2
YAGO,Baker,2
YAGO,Legal_Historian_Q2135538,3
YAGO,Field_Hockey_Club_Q42421242,2
YAGO,Historian_Of_Modern_Age_Q17489339,2
YAGO,Tithi,1
YAGO,Rittmeister,1
YAGO,Flying_club,1
YAGO,Local_Coat_Of_Arms_Q480260,2
YAGO,Constituency_Of_The_French_Fifth_Republic_Q15620943,1
YAGO,Cultural_institution,2
YAGO,Drummer,4
YAGO,Film_festival,4
YAGO,Antiquarian_Seller_Q187865,1
YAGO,Naturalist_Q18805,7
YAGO,Publisher_Q2516866,20
YAGO,Air_base,4
YAGO,Children_U0027_S_Writer_Q4853732,13
YAGO,Comics_artist,8
YAGO,College_Professor_In_Quebec_Q3054730,1
YAGO,Drafter,1
YAGO,Choir_Director_Q1076502,3
YAGO,Belde,2
YAGO,Low-ionization_nuclear_emission-line_region,12
YAGO,Comic_Book_Album_Q2831984,4
YAGO,Racing_Automobile_Model_Q90834785,1
YAGO,Disaster,1
YAGO,Tennis_Tournament_Edition_Q47345468,8
YAGO,Tennis_Event_Q46190676,20
YAGO,Tour_du_Finistère,1
YAGO,Volost_Of_The_Russian_Empire_Q20732405,3
YAGO,Chain_store,1
YAGO,Raion_Of_The_Soviet_Union_Q20719675,2
YAGO,Quarter__u0028_urban_subdivision_u0029_,7
YAGO,Record_producer,21
YAGO,Subsidiary,1
YAGO,City,11
YAGO,Customs_officer,1
YAGO,Imamzadeh,2
YAGO,Single_Entity_Of_Population_Q3055118,10
YAGO,Marquisate_Of_Spain_Q26240527,2
YAGO,Township__u0028_United_States_u0029_,3
YAGO,Music_Journalist_Q20669622,1
YAGO,Military_Commander_Q11545923,9
YAGO,Mahalle,21
YAGO,Municipal_Part_In_Czechia_Q61089180,8
YAGO,Township_Of_Arkansas_Q24027556,3
YAGO,Infantry_Regiment_Q10358588,1
YAGO,BodyOfWater,3
YAGO,Legal_case,6
YAGO,Boat,1
YAGO,Tram_Model_Q76154857,1
YAGO,List_of_pasta,1
YAGO,Provincial_Road_Q19358305,1
YAGO,Interchange__u0028_road_u0029_,2
YAGO,Township_Of_The_People_U0027_S_Republic_Of_China_Q1500350,10
YAGO,Subdistricts_of_China,7
YAGO,Ōaza_Q424857,2
YAGO,Unicameral_Legislature_Q37002670,1
YAGO,Landscape_architect,1
YAGO,Special_Needs_School_In_Japan_Q43271061,1
YAGO,Japanese_television_drama,2
YAGO,Chōchō_Q5327369,5
YAGO,Natural_Gas-Fired_Power_Station_Q3498533,2
YAGO,Logician_Q14565331,1
YAGO,Beer_Brand_Q15075508,2
YAGO,Airport,22
YAGO,Music_festival,6
YAGO,Mountain_chain,3
YAGO,Electrical_engineer,5
YAGO,Senator,1
YAGO,Castle_Ruin_Q17715832,3
YAGO,Ethnographer_Q12347522,6
YAGO,List_of_Esperanto_speakers,10
YAGO,Think_tank,1
YAGO,Zenit-4_Q14693998,1
YAGO,Faculty__u0028_division_u0029_,8
YAGO,Muban,1
YAGO,Ward_Of_Tanzania_Q18691601,3
YAGO,Union_councils_of_Bangladesh,4
YAGO,Lichenologist_Q15924544,2
YAGO,Amateur_Football_Club_Q14752149,3
YAGO,Township-Level_Division_Similar_To_Townships_Q12809484,6
YAGO,Cultural_Historian_Q15462162,2
YAGO,Show_mine,1
YAGO,Open_access_journal,10
YAGO,Legislative_Yuan_Constituency_Q19409201,1
YAGO,Tribe,2
YAGO,Boxer,14
YAGO,National_sports_team,4
YAGO,Hamlet_Q4379239,1
YAGO,Embetsperson_Q61021680,1
YAGO,Video_Album_Q10590726,1
YAGO,Building_With_Cornice_Q17489143,4
YAGO,Reporter,2
YAGO,Wujue_Q10882176,1
YAGO,Lock__u0028_water_navigation_u0029_,4
YAGO,Primary_School_Q1800213,2
YAGO,Lodge_Q108840195,1
YAGO,Farmstead_Q72030539,3
YAGO,Naval_Officer_Q10669499,4
YAGO,Industrial_Zone_Q329683,1
YAGO,Literary_Historian_Q13570226,4
YAGO,Isotopes_of_terbium,1
YAGO,Public_notice,2
YAGO,Table_of_contents,1
YAGO,Play__u0028_theatre_u0029_,2
YAGO,Cantigas_de_escárnio_e_maldizer,1
YAGO,Military_academy,1
YAGO,Military_Physician_Q4002666,3
YAGO,Urban_Council_Of_Ukraine_Q33101426,1
YAGO,Catholic_Church_Building_Q1088552,5
YAGO,Non-governmental_organization,4
YAGO,Baptismal_font,4
YAGO,Fictional_Geographic_Region_Q20750954,1
YAGO,Malt_house,1
YAGO,Group_Of_Houses_Q2282602,1
YAGO,Myth,1
YAGO,Lithographer_Q16947657,4
YAGO,Zoologist,9
YAGO,Temporary_Art_Exhibition_Q59861107,1
YAGO,Karst_Area_Q55471069,1
YAGO,Estuary,4
YAGO,Underground_Irrigation_Canal_Q55468440,2
YAGO,Ward_Of_Zambia_Q63241909,1
YAGO,Lithograph,4
YAGO,Buddhist_temple,3
YAGO,Arm__u0028_geography_u0029_,2
YAGO,City_physician,1
YAGO,Zhi_Q22961568,1
YAGO,Mill__u0028_grinding_u0029_,4
YAGO,Small_Village_In_Latvia_Q16363214,1
YAGO,Mountain_pass,14
YAGO,Communes_of_Chile,1
YAGO,Radio_Series_Episode_Q57608327,3
YAGO,Gram_panchayat,14
YAGO,Plain,15
YAGO,Art_Collector_Q10732476,2
YAGO,Stop-Motion_Animated_Film_Q18089587,1
YAGO,Municipality_Seat_Q15303838,13
YAGO,Rhythmic_Gymnast_Q24037210,2
YAGO,Skier_Q4270517,1
YAGO,Critic,5
YAGO,Abstract__u0028_summary_u0029_,4
YAGO,Television_Columnist_Q19607300,1
YAGO,List_of_rock_formations,4
YAGO,State_forest__u0028_Brazil_u0029_,1
YAGO,Go_player,4
YAGO,Botanical_Natural_Monument_Q20071150,2
YAGO,Anthropologist,11
YAGO,Wikimedia_Route_Diagram_Q17146139,4
YAGO,Sound_Designer_Q3024424,3
YAGO,Pub,15
YAGO,Stable,7
YAGO,Gatepost,2
YAGO,Advertising_Person_Q10355417,1
YAGO,Testimony,1
YAGO,Wall,10
YAGO,Mill_Building_Q56822897,2
YAGO,Dictionary,3
YAGO,Biogenic_Alkylphenol_Q109610330,3
YAGO,Wax_Monoester_Q63446172,2
YAGO,Riverboat,1
YAGO,European_Mixed_Team_Badminton_Championships,1
YAGO,Abandoned_Hamlet_Q27654220,2
YAGO,Defile__u0028_geography_u0029_,1
YAGO,Urologist_Q17345122,1
YAGO,Badminton_player,25
YAGO,Owarai_tarento,2
YAGO,Audio_Technician_Q2442329,2
YAGO,Archive,8
YAGO,Barangay,4
YAGO,Parish_Of_Victoria_Q28930084,2
YAGO,Religious_community,6
YAGO,Officer_Of_The_French_Navy_Q3349700,2
YAGO,Tomb,4
YAGO,Retable,6
YAGO,Scale_model,1
YAGO,Mortar_Q45778,1
YAGO,Altar_Canopy_Q58624162,1
YAGO,Church_tabernacle,2
YAGO,Stained_Glass_Window_Q21061279,3
YAGO,Candlestick,4
YAGO,Megalith,3
YAGO,Transfer_RNA,1
YAGO,Protected_Dendrological_Plantation_In_Latvia_Q29549296,1
YAGO,Palace_Complex_Q28843623,1
YAGO,Artificial_Intelligence_Researcher_Q15976092,1
YAGO,Amusement_park,1
YAGO,Stone_Grave_Q15120977,5
YAGO,Museum_Building_Q24699794,5
YAGO,Ridge,23
YAGO,Hindu_temple,17
YAGO,Gap__u0028_landform_u0029_,5
YAGO,Palace,7
YAGO,Levee,1
YAGO,Sports_team,7
YAGO,Plain_Stage_Q20646667,1
YAGO,Sculpture_Of_A_Saint_Q1595171,1
YAGO,Enceinte,1
YAGO,Khachkar,10
YAGO,Town_square,12
YAGO,Guide_book,1
YAGO,Governing_body,1
YAGO,Bmp_Signaling_Pathway_Q14864806,1
YAGO,Fourth_Saturday_In_November_Q51156605,1
YAGO,Historical_markers_of_the_Philippines,1
YAGO,Protected_areas_of_Ukraine,2
YAGO,Folk_high_school,1
YAGO,Request_for_Comments,8
YAGO,Educator_Q974144,6
YAGO,Art_critic,5
YAGO,Government_gazette,7
YAGO,Edition_Of_Commercial_Catalogue_Q55089312,5
YAGO,Commercial_Catalogue_Series_Q55089306,2
YAGO,Zapis,1
YAGO,Director_u0027_s_cut,1
YAGO,Chemical_tanker,2
YAGO,Comprehensive_Institute_Q56177191,6
YAGO,Professional_Institute_Q3803808,2
YAGO,Scenographer,2
YAGO,Hamster_Disease_Q53703540,1
YAGO,Slave_Trader_Q17769800,1
YAGO,Spontaneously_Immortalized_Cell_Line_Q27555319,5
YAGO,Nation_At_Sport_Competition_Q46135307,10
YAGO,Geomorphological_District_Q12018178,1
YAGO,Resort,1
YAGO,Stonemason,1
YAGO,Reformed_Christianity_Church_Q103842783,1
YAGO,Decision_In_The_Prc_Q106901434,1
YAGO,Jazz_Musician_Q15981151,9
YAGO,Theatrical_production,9
YAGO,Operatic_Production_Q47467768,1
YAGO,Outcrop,1
YAGO,Catalogue_Q2352616,3
YAGO,Economic_Activity_Q8187769,1
YAGO,Spiral_galaxy,9
YAGO,Meeting_house,2
YAGO,Cook__u0028_profession_u0029_,1
YAGO,Astrolabe,1
YAGO,Special_Area_of_Conservation,8
YAGO,Automobile_Manufacturer_Q786820,6
YAGO,Textile_Artwork_Q22075301,2
YAGO,Ceramic_art,2
YAGO,Regular_Priest_Q2029179,1
YAGO,Philologist,5
YAGO,Theatrical_Character_Q3375722,1
YAGO,Automatic_weather_station,1
YAGO,Industrial_Engineer_Q2267418,1
YAGO,Collector_Q3243461,2
YAGO,Epitome,1
YAGO,Book_series,6
YAGO,Free_skating,1
YAGO,Saucer,1
YAGO,Molecular_Biologist_Q15839206,2
YAGO,Unofficial_Patch_Q63035828,1
YAGO,Operatic_Character_Q50386450,14
YAGO,Dead_end__u0028_street_u0029_,8
YAGO,Verse_Of_The_Bible_Q29154550,5
YAGO,Electoral_list,2
YAGO,Forest_Integral_Biological_Reserve_Q65952434,1
YAGO,Dispersed_Settlement_In_Latvia_Q16352482,1
YAGO,Judoka,9
YAGO,Holiday_cottage,1
YAGO,Farm_Operator_Q3062119,6
YAGO,Real_estate_agent,1
YAGO,Combined_school,2
YAGO,Comic_book_series,3
YAGO,Voluntary_controlled_school,2
YAGO,Community_school__u0028_England_and_Wales_u0029_,5
YAGO,Mansion,4
YAGO,Voluntary_aided_school,3
YAGO,Boys_U0027__School_Q1713379,2
YAGO,Presidential_election,1
YAGO,Upper_Primary_School_Q64063386,7
YAGO,Kaveri_Grameena_Bank_Branch_Q67990452,1
YAGO,Television_content_rating_system,1
YAGO,Home_Video_Game_Console_Model_Q115187350,3
YAGO,Archival_Collection_Q9388534,1
YAGO,Printer-Bookseller_Q40881196,2
YAGO,Data_set,2
YAGO,Central_Bank_Of_India_Branch_Q73580208,5
YAGO,Yes_Bank_Branch_Q65954125,5
YAGO,Bank_Of_Baroda_Branch_Q65954142,4
YAGO,Axis_Bank_Branch_Q65954138,7
YAGO,Ksar,1
YAGO,Oriental_Bank_Of_Commerce_Branch_Q73887153,2
YAGO,Dramaturge,3
YAGO,Urban_School_Q67388747,7
YAGO,Nainital_Bank_Branch_Q74497833,1
YAGO,Electoral_alliance,1
YAGO,National_Primary_School_Q70206617,4
YAGO,Beta-Carboline_Alkaloid_Q109082688,4
YAGO,Institute,2
YAGO,Texas_Open__u0028_squash_u0029_,1
YAGO,Interacting_galaxy,2
YAGO,Gamma-ray_burst,16
YAGO,Biogenic_Chromone_Q109583240,2
YAGO,Near-Ir_Source_Q67206785,2
YAGO,Walled_garden,2
YAGO,Gendarmerie_Barracks_Q83554028,3
YAGO,Immunologist_Q12119633,1
YAGO,Interacting_Galaxies_Q28738741,9
YAGO,Militaria,2
YAGO,Girl_group,1
YAGO,Plaquette,6
YAGO,Squash_Player_Q16278103,2
YAGO,Starburst_galaxy,1
YAGO,Brown_dwarf,4
YAGO,Voice_actor,13
YAGO,Benzoxazine_Alkaloid_Q109186284,1
YAGO,Human_rights,1
YAGO,Pre-main-sequence_star,1
YAGO,Supercluster,5
YAGO,Kapellmeister,3
YAGO,Association_library,1
YAGO,Social_Activist_Q8359428,1
YAGO,Exhibition_Curator_Q780596,2
YAGO,BL_Lacertae_object,5
YAGO,Emission-Line_Star_Q72803622,13
YAGO,Star_cluster,13
YAGO,State_school,9
YAGO,Correspondent,2
YAGO,Astronomical_Object_From_The_Star_Trek_Universe_Q57083319,1
YAGO,Transportation_Engineer_Q12964993,2
YAGO,W_Ursae_Majoris_variable,14
YAGO,Forestry_Grouping_Q88963434,1
YAGO,Baroque_trumpet,1
YAGO,Public_hospital,3
YAGO,MDMA,3
YAGO,Be_star,3
YAGO,Official,5
YAGO,University_And_College_Sports_Club_Q2367225,2
YAGO,Syndicat_Mixte,7
YAGO,Act_Of_The_Parliament_Of_India_Q33283984,3
YAGO,Digital_Collection_Q60474998,3
YAGO,Noble_Q16744001,2
YAGO,Syndicat_Intercommunal_Q3508250,17
YAGO,Bike_path,3
YAGO,Ward_Of_Nigeria_Q60169073,3
YAGO,Flautist,1
YAGO,Costume_designer,7
YAGO,Circus_Building_Q56195017,1
YAGO,Monk,10
YAGO,Photographic_Work_Q11900210,1
YAGO,Blog_Post_Q17928402,2
YAGO,Partial_cloverleaf_interchange,1
YAGO,Platter__u0028_dishware_u0029_,1
YAGO,Typhoon,2
YAGO,Web_application,1
YAGO,Fault__u0028_geology_u0029_,5
YAGO,Cemetery_Chapel_Q1457501,3
YAGO,Prose,3
YAGO,Garden,2
YAGO,Graben,2
YAGO,Freilandstation_Des_Mesolithikums_Q106491386,2
YAGO,Album_amicorum,1
YAGO,Signpost_Q22812402,1
YAGO,COSCUP,1
YAGO,Anime_Television_Series_Q63952888,1
YAGO,Critérium_Arrojo_Q98822459,1
YAGO,Welsh_Statutory_Instrument_Q100754500,9
YAGO,Web_page,3
YAGO,Scottish_statutory_instrument,8
YAGO,Directive__u0028_European_Union_u0029_,4
YAGO,Act_Of_The_Northern_Ireland_Assembly_Q100271152,1
YAGO,Sherd,1
YAGO,Act_Of_The_Oireachtas_Q91586285,8
YAGO,Ethnologist_Q1371378,6
YAGO,Futsal_Player_Q18515558,2
YAGO,New_Zealand_Legislative_Instrument_Q101073445,3
YAGO,Horse_trainer,2
YAGO,Filling_station,1
YAGO,Sloop,1
YAGO,GNU_Free_Documentation_License,1
YAGO,United_States_Of_America_State-Level_Electoral_District_Q104146934,13
YAGO,Drimane_Sesquiterpenoid_Q108281075,1
YAGO,Graphic_designer,5
YAGO,Talk_Show_Host_Q18668527,1
YAGO,Youtube_Video_Q63412991,3
YAGO,Biogenic_Acyclic_Ketone_Q109911294,2
YAGO,United_States_Senate_Election_In_Vermont_Q112727427,1
YAGO,Kaurane_Diterpenoid_Q108407223,2
YAGO,Biogenic_Cyclopeptide_Q109559114,1
YAGO,Fatty_alcohol,3
YAGO,Guaiane_Sesquiterpenoid_Q108281588,4
YAGO,Noreudesmanes_Q108348587,1
YAGO,Multivolume_Work_Q60534428,1
YAGO,Cinnamoylamide_Alkaloid_Q109197849,1
YAGO,Biogenic_Coumarin_Q109583589,2
YAGO,Macrolide,2
YAGO,Housing_association,1
YAGO,Protostane_U002F_Dammarane_Triterpenoid_Q108526292,4
YAGO,Church__u0028_congregation_u0029_,2
YAGO,Induced_Pluripotent_Stem_Cell_Line_Q107103143,15
YAGO,Telomerase_Immortalized_Cell_Line_Q27653701,1
YAGO,Scientific_Conference_Series_Q47258130,4
YAGO,Roundabout,1
YAGO,Hagiography,1
YAGO,Professional_Wrestler_Q13474373,3
YAGO,Academic_conference,8
YAGO,Military_unit,18
YAGO,Decree_Q1298239,6
YAGO,Act_of_Parliament,7
YAGO,Cultural_Worker_Q1791845,1
YAGO,Incline_Q3323198,1
YAGO,Funeral_Home_Chain_Q64502530,1
YAGO,Carnival_society,1
YAGO,Database,3
YAGO,Psychiatrist,5
YAGO,Monitor_Q97077298,1
YAGO,Catholic_Cemetery_Q21554881,3
YAGO,Bibliography_Q1631107,3
YAGO,Artillery_Battery_Q56344492,1
YAGO,Twitch_Streamer_Q50279140,1
YAGO,Brook__u0028_small_stream_u0029_,4
YAGO,Figure_skating_club,1
YAGO,Diploma,1
YAGO,Prize,1
YAGO,Pla_D_U0027_Espais_D_U0027_Interès_Natural_Q17377474,1
YAGO,Video_Game_Series_Q7058673,2
YAGO,Muhaqqiq_Q105452506,2
YAGO,Birth_Registry_Q11971341,3
YAGO,Shipyard,2
YAGO,Station_building,1
YAGO,Cabana__u0028_structure_u0029_,4
YAGO,Rapper,9
YAGO,Garden_square,1
YAGO,Hansard,3
YAGO,Hetaira,1
YAGO,Mirror,1
YAGO,Penny_dreadful,3
YAGO,Kappō_Q11398011,1
YAGO,Engraver_Q329439,7
YAGO,Drypoint_Print_Q23657281,1
YAGO,Cadastral_Area_In_The_Czech_Republic_Q20871353,15
YAGO,Serial__u0028_literature_u0029_,3
YAGO,Collage_Q22669857,3
YAGO,Wikinews_Date_Page_Q94574287,1
YAGO,Art_Collection_Q7328910,1
YAGO,Tour_de_Picardie,1
YAGO,Three-Cushion_Tournament_Q55655722,1
YAGO,News_agency,1
YAGO,Mural,2
YAGO,Tengu,1
